Object,ExpTime,Filter,Comments,Method,Filenums
flat,15.0,Ks,,saturated,"range(17, 27)"
flat,4.5,H,,saturated,"range(29, 39)"
flat,4.5,J,,saturated,"range(40, 50)"
flat,30.0,J+Ch4-1.2,,saturated,"range(52, 57)"
flat,120.0,BrG-2.16,,saturated,"range(58, 63)"
T63898957,4.5,Ks,,saturated,"range(282, 287)"
T63898957,4.5,J,,saturated,"range(287, 292)"
T64071894,4.5,Ks,,saturated,"range(292, 297)"
T64071894,4.5,J,,saturated,"range(297, 302)"
T319312479,15.0,Ks,"Companion 1"" away with 1/9 counts at center",saturated,"range(304, 309)"
T319312479,15.0,J,"Companion 1"" away with 1/9 counts at center",saturated,"range(309, 314)"
T332660150,15.0,Ks,,saturated,"range(314, 319)"
T332660150,15.0,J,,saturated,"range(319, 324)"
T67772767,15.0,Ks,,saturated,"range(324, 329)"
T67772767,15.0,J,,saturated,"range(329, 334)"
T144700903,60.0,Ks,,saturated,"range(335, 340)"
T102283403,4.5,Ks,,saturated,"range(343, 348)"
T102283403,1.5,J,,saturated,"range(349, 354)"
T437984134,1.5,Ks,,saturated,"range(354, 359)"
T437984134,1.5,J,,saturated,"range(359, 364)"
T250484865,5.0,Ks,,saturated,"range(364, 369)"
T250484865,4.5,J,,saturated,"range(369, 374)"
T293853437,4.5,Ks,,saturated,"range(376, 381)"
T293853437,4.5,J,,saturated,"range(381, 386)"
T229384040,15.0,Ks,Cloudy so counts vary from frame to frame from here on.,saturated,"range(395, 400)"
T229384040,4.5,J,,saturated,"range(401, 405)"
T237808867,15.0,Ks,,saturated,"range(405, 410)"
T237808867,15.0,J,,saturated,"range(410, 415)"
T207277638,30.0,Ks,,saturated,"range(416, 420)"
T207277638,30.0,J,,saturated,"range(420, 425)"
T425220920,30.0,Ks,,saturated,"range(425, 429)"
T425220920,30.0,J,,saturated,"range(429, 433)"
dark,4.5,,,saturated,"range(63, 73)"
dark,15.0,,,saturated,"range(73, 83)"
dark,120.0,,,saturated,"range(83, 88)"
dark,1.5,,,saturated,"range(438, 462)"
dark,3.0,,,saturated,"range(462, 467)"
dark,4.5,,,saturated,"range(467, 482)"
dark,5.0,,,saturated,"range(482, 487)"
dark,15.0,,,saturated,"range(487, 502)"
dark,30.0,,,saturated,"range(502, 512)"
dark,60.0,,,saturated,"range(512, 522)"
dark,90.0,,,saturated,"range(522, 525)"
dark,120.0,,,saturated,"range(525, 532)"
dark,180.0,,,saturated,"range(532, 537)"
dark,240.0,,,saturated,"range(537, 540)"
